x,y,distance
2151.2136076786774,-212.382063120567,0.4341154586145297
2156.701912055267,-229.98665730245503,2.3756627876459397
2168.196222627342,-267.0284079907829,6.539166666666674
2205.8679244392874,-390.62625343407234,20.094722222222227
2219.467623654307,-436.2206638277274,24.068858197114647
2277.7160783953086,-634.1123451088906,39.321773399545684
2298.270697962333,-704.4507176109407,47.8725
2318.330471883027,-773.0802340657159,59.161388888888894
2321.1996295572235,-782.820720052433,60.43304609701329
2357.148856915315,-904.2074230686941,73.32805555555555
2373.8318570611946,-960.3787348756737,78.91393080772409
2415.9410276010567,-1102.0480142979836,93.55027777777778
2431.3857190915282,-1154.3311851447882,99.25356273881783
2446.9965161631794,-1207.5133565662675,105.28361111111113
2464.505056667718,-1267.2962659375464,110.98219156401407
2530.6271553738757,-1492.5331276837737,126.12805555555556
2535.665366346459,-1509.6208629689365,127.47431845659605
2569.4752722613644,-1623.1513362483322,141.1280555555556
2593.161360952511,-1701.9037943801707,156.29472222222225
2600.167559722169,-1725.702947024331,159.1884440104497
2612.9057664822417,-1769.1510550215457,163.76344118309032
2650.5654960578117,-1897.4044013545615,174.6280555555556
2716.838117381839,-2122.47111733967,192.9779167284518
2732.1532689371174,-2174.2945610126208,199.3391666666667
2766.2560636359417,-2289.5002255140785,218.07250000000005
2769.643993063477,-2301.0139399159225,219.4849512741123
2805.1373238140145,-2421.683834555112,232.08694333769512
2837.4036942395264,-2530.0815822334816,243.3169444444445
2849.9529790842753,-2572.188176827012,247.91131652205823
2917.5237583450003,-2799.9143057408855,271.75738878027107
2918.1467291321605,-2802.008676188428,271.9169444444445
2985.2681857833923,-3028.6252424077716,287.7484438231293
3010.3788209882364,-3120.4632196822313,300.03861111111115
3024.8125059332583,-3178.028210061982,309.8562513179673
3027.8193582586227,-3189.504284653793,311.2830555555556
3082.878250520819,-3387.6697917455886,329.01638888888897
3090.4707510009484,-3412.18413002693,331.30975494958966
3133.264517929593,-3522.4279212900065,342.4955828094101
3133.583335439412,-3523.0599537482494,342.54972222222233
3204.7889536345597,-3645.883399487963,352.03681928152736
3255.1225476005334,-3712.9842889405772,361.1497222222223
3314.4330809033568,-3749.4168016124163,372.87719843700495
3329.4162744430155,-3757.664497060841,374.8386111111112
3406.764663241053,-3795.077275799806,383.26217406658856
3499.679079902137,-3815.249315273555,392.46690710908103
3511.622071730261,-3816.192741794734,393.44055555555565
3634.0149077414217,-3816.9479496468257,402.69015309489293
3710.7522279678733,-3810.1152559106085,412.32944444444456
3740.604874557396,-3805.2612489075495,416.0776714942139
3934.3601099377283,-3766.574315303942,434.32944444444456
3943.5918385425884,-3764.3920373654346,435.2619835778797
4096.386348021825,-3721.2468690177407,453.4294444444446
4104.117906522278,-3718.8247080715164,454.4033030308312
4186.40628219946,-3692.0317593796826,464.37388888888904
4238.344380212981,-3673.83300038489,468.76086125475496
4309.574935998909,-3648.148138104002,473.4405555555557
4399.567445142036,-3614.9422257688125,479.10615728354793
4499.752750747254,-3576.2449935598133,487.44055555555565
4595.215710897158,-3536.540499915179,499.3850000000001
4611.018109713413,-3529.9327177575133,501.67977427828436
4710.688687958444,-3488.068852423733,519.0294444444446
4805.206097950581,-3444.920805507515,530.4109137557833
4914.416747689129,-3393.3120940414083,539.6516666666669
4956.119626368202,-3373.631907770602,543.4477528090649
5034.783407587295,-3337.066053768615,552.762777777778
5096.157669597697,-3308.641304611045,563.2516666666669
5182.461378338138,-3263.657313817363,572.5156582009855
5199.918848689259,-3254.267125713114,574.0072222222225
5335.230359635804,-3179.856130333636,584.8093335186365
5412.716095467057,-3134.4102060322984,595.962777777778
5462.2206911774865,-3099.584991716237,605.4561505928315
5510.4404175576865,-3062.8886225158317,612.4961111111113
5595.947701834696,-2990.0024928523976,623.6072222222224
5614.2428069288935,-2971.236729856304,626.2519056268825
5666.773441093389,-2907.4752462722026,634.762777777778
5681.509566130863,-2886.2650692484035,637.4256623868678
5736.546935345448,-2788.162938324084,648.8183333333335
5753.070065416312,-2750.7804024332354,652.8922967008946
